,participant,block,net_trial,net_size,net_contents,offer_1,offer_2,offer_3,choice,switch_trial,prop_filled,raw_distance,trials_invested,net_item_idx,best_alt_idx,worst_alt_idx,goal_offer,best_alt_offer,worst_alt_offer,in_scanner,decisionRT,myopic_values_1,myopic_values_2,myopic_values_3,tree_search_item1,tree_search_item2,tree_search_item3
0,0,1,1,40,0.0,5.29520013608758,5.27019791196469,4.55929419464729,1,0,0.0,40.0,0,,,,,,,1.0,,5.29520013608758,5.27019791196469,4.55929419464729,-10.7315,-10.6723,-11.37335
1,0,1,2,40,5.29520013608758,5.47960069319139,5.344058031549,3.75675645018191,1,0,0.13238000340219,34.7047998639124,1,1.0,2.0,3.0,5.47960069319139,5.344058031549,3.75675645018191,1.0,,10.774800829279,5.344058031549,3.75675645018191,-9.32855,-10.68095,-12.1952
2,0,1,3,40,10.774800829279,1.702009113713,4.13206785021984,4.28609590069992,3,1,0.269370020731974,29.225199170721,2,1.0,3.0,2.0,1.702009113713,4.28609590069992,4.13206785021984,1.0,,12.476809942992,4.13206785021984,4.28609590069992,-12.35775,-11.7995,-11.6054
3,0,1,4,40,4.28609590069992,2.39606856143293,0.924623947273001,4.92379302167708,3,0,0.107152397517498,35.7139040993001,1,3.0,1.0,2.0,4.92379302167708,2.39606856143293,0.924623947273001,1.0,,2.39606856143293,0.924623947273001,9.209888922377,-13.46625,-14.7899,-10.1403
4,0,1,5,40,9.209888922377,2.85413986258053,-0.937677544663349,4.20342369388926,3,0,0.230247223059425,30.790111077623,2,3.0,1.0,2.0,4.20342369388926,2.85413986258053,-0.937677544663349,1.0,,2.85413986258053,-0.937677544663349,13.4133126162663,-13.08605,-15.3929,-9.97065
5,0,1,6,40,13.4133126162663,3.48516442466286,1.60856885619048,3.85933655963226,3,0,0.335332815406656,26.5866873837337,3,3.0,1.0,2.0,3.85933655963226,3.48516442466286,1.60856885619048,1.0,,3.48516442466286,1.60856885619048,17.2726491758985,-12.43355,-14.2037,-9.2208
6,0,1,7,40,17.2726491758985,11.8878684340287,1.12903641584755,3.56814287336339,1,1,0.431816229397463,22.7273508241015,4,3.0,1.0,2.0,3.56814287336339,11.8878684340287,1.12903641584755,1.0,,11.8878684340287,1.12903641584755,20.8407920492619,-6.4464,-14.557,-8.71125
7,0,1,8,40,11.8878684340287,12.5813029194193,3.12958889726042,4.00104247067282,1,0,0.297196710850718,28.1121315659713,1,1.0,3.0,2.0,12.5813029194193,4.00104247067282,3.12958889726042,1.0,,24.469171353448,3.12958889726042,4.00104247067282,-4.4889,-12.75265,-11.999
8,0,1,9,40,24.469171353448,12.738081024469,4.88929225236347,5.10140901644979,1,0,0.6117292838362,15.530828646552,2,1.0,3.0,2.0,12.738081024469,5.10140901644979,4.88929225236347,1.0,,37.207252377917,4.88929225236347,5.10140901644979,-2.6022,-11.021,-10.7685
9,0,1,10,40,37.207252377917,12.1377620179197,4.87549419337632,-1.35239224876032,1,0,0.930181309447925,2.792747622083,3,1.0,2.0,3.0,12.1377620179197,4.87549419337632,-1.35239224876032,1.0,,49.3450143958367,4.87549419337632,-1.35239224876032,-1.0,-10.98635,-15.49905
